Feed	Feed URL
Academic Lifehacker	http://academiclifehacker.wordpress.com/feed/
ACS Chemical Biology: Latest Articles	http://feeds.feedburner.com/acs/acbcct
ACS Nano	http://feeds.feedburner.com/acs/ancac3
ACS Synthetic Biology	http://feeds.feedburner.com/acs/asbcd6
Acta Biochimica et Biophysica Sinica	http://abbs.oxfordjournals.org/rss/current.xml
Adam Byron	http://adambyron.com/feed/
Advances in Biological Regulation	http://rss.sciencedirect.com/publication/science/22124926
A Fresh Cup	http://afreshcup.com/home/rss.xml
A life in the biophysics lab	http://larsduelund.wordpress.com/feed/
AMOLF: Latest news	http://www.amolf.nl/news/rss.xml
Annual Review of Animal Biosciences	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=6690&amp;jc=animal&amp;type=etoc&amp;feed=rss
Annual Review of Biochemistry	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=se&amp;jc=biochem&amp;type=etoc&amp;feed=rss
Annual Review of Biomedical Engineering	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=sb&amp;jc=bioeng&amp;type=etoc&amp;feed=rss
Annual Review of Biophysics	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=s7&amp;jc=biophys&amp;type=etoc&amp;feed=rss
Annual Review of Cell and Developmental Biology	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=sg&amp;jc=cellbio&amp;type=etoc&amp;feed=rss
Annual Review of Chemical and Biomolecular Engineering	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=68uv&amp;jc=chembioeng&amp;type=etoc&amp;feed=rss
Annual Review of Genetics	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=sj&amp;jc=genet&amp;type=etoc&amp;feed=rss
Annual Review of Microbiology	http://www.annualreviews.org/action/showFeed?ui=45mu4&amp;mi=3fndc3&amp;ai=sn&amp;jc=micro&amp;type=etoc&amp;feed=rss
Annu. Rep. Prog. Chem.	http://feeds.rsc.org/rss/OC
Archives of Biochemistry and Biophysics	http://rss.sciencedirect.com/publication/science/00039861
Artificial DNA: PNA &amp; XNA	https://www.landesbioscience.com/rss/journals/artificialdna/current/
Athene Donald	http://occamstypewriter.org/athenedonald/feed/
Autophagy	https://www.landesbioscience.com/rss/journals/autophagy/current/
Bacteriophage	https://www.landesbioscience.com/rss/journals/bacteriophage/current/
BBA Bioenergetics	http://rss.sciencedirect.com/publication/science/00052728
BBA Biomembranes	http://rss.sciencedirect.com/publication/science/00052736
BBA Lipid Molecular and Cell Biology	http://rss.sciencedirect.com/publication/science/13881981
BBA Molecular Basis of Disease	http://rss.sciencedirect.com/publication/science/09254439
BBA Molecular Cell Research	http://rss.sciencedirect.com/publication/science/01674889
BBA Proteins and Proteomics	http://rss.sciencedirect.com/publication/science/15709639
BBA Reviews on Cancer	http://rss.sciencedirect.com/publication/science/0304419X
BBSRC - News	http://feeds.feedburner.com/bbsrc
BioArchitecture	https://www.landesbioscience.com/rss/journals/BioArchitecture/current/
Biochemical and Biophysical Research Communications	http://rss.sciencedirect.com/publication/science/0006291X
Biochemical Engineering Journal	http://rss.sciencedirect.com/publication/science/1369703X
Biochemistry (ACS)	http://feeds.feedburner.com/acs/bichaw
Biochemistry and Cell Biology (NRC)	http://www.nrcresearchpress.com/action/showFeed?ui=1ab&amp;mi=3b2pbw&amp;ai=rw&amp;jc=bcb&amp;type=etoc&amp;feed=rss
Biochemistry and Molecular Biology (Comparative Biochemistry and Physiology)	http://rss.sciencedirect.com/publication/science/10964959
Biochemistry News	http://www.topix.com/rss/science/biochemistry
Biochimie	http://rss.sciencedirect.com/publication/science/03009084
Bioconjugate Chemistry	http://feeds.feedburner.com/acs/bcches
Bioelectrochemistry	http://rss.sciencedirect.com/publication/science/15675394
Bioengineered	https://www.landesbioscience.com/rss/journals/bioe/current/
bioinformatics and randomness	http://searchvoidstar.tumblr.com/rss
Bioinformatics	http://bioinformatics.oxfordjournals.org/rss/current.xml
Biomacromolecules	http://feeds.feedburner.com/acs/bomaf6
Biomater. Sci.	http://feeds.rsc.org/rss/BM
Biomatter	https://www.landesbioscience.com/rss/journals/biomatter/current/
Biomolecular Engineering	http://rss.sciencedirect.com/publication/science/13890344
Biophysical Chemistry	http://rss.sciencedirect.com/publication/science/03014622
BIOPHYSICAL JOURNAL	http://www.cell.com/rssFeed/biophysj/rss.NewIssueAndArticles.xml
bioRxiv : Biochemistry	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=biochemistry
bioRxiv : Bioinformatics	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=bioinformatics
bioRxiv : Biophysics	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=biophysics
bioRxiv : Cancer Biology	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=cancer_biology
bioRxiv : Genetics	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=genetics
bioRxiv : Genomics	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=genomics
bioRxiv : Molecular Biology	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=molecular_biology
bioRxiv : Systems Biology	http://hwmaint.biorxiv.highwire.org/cgi/collection/rss?coll_alias=systems_biology
Bioscience Horizons	http://biohorizons.oxfordjournals.org/rss/current.xml
Biostatistics: Most-Read	http://biostatistics.oxfordjournals.org/rss/mfr.xml
Biosystems	http://rss.sciencedirect.com/publication/science/03032647
Bits of DNA	http://liorpachter.wordpress.com/feed/
BJ Biomolecules	http://www.biochemj.org/bj/rss/imps_5.xml
BJ Cell	http://www.biochemj.org/bj/rss/imps_2.xml
BJ ChemBio	http://www.biochemj.org/bj/rss/imps_9.xml
BJ Disease	http://www.biochemj.org/bj/rss/imps_3.xml
BJ Energy	http://www.biochemj.org/bj/rss/imps_1.xml
BJ Gene	http://www.biochemj.org/bj/rss/imps_4.xml
BJ Metabolism	http://www.biochemj.org/bj/rss/imps_10.xml
BJ Plant	http://www.biochemj.org/bj/rss/imps_6.xml
BJ Signal	http://www.biochemj.org/bj/rss/imps_7.xml
Briefings in Bioinformatics	http://bib.oxfordjournals.org/rss/current.xml
Briefings in Functional Genomics	http://bfg.oxfordjournals.org/rss/current.xml
B.R.S.M.	http://brsmblog.com/?feed=rss2
Bull. London Math. Soc.: Most Read	http://blms.oxfordjournals.org/rss/mfr.xml
Cambridge R user group	https://groups.google.com/forum/feed/cambridge-r-user-group/msgs/rss_v2_0.xml?num=50
Cancer Biology &amp; Therapy	https://www.landesbioscience.com/rss/journals/cbt/current/
Cancer Cell	http://rss.sciencedirect.com/publication/science/15356108
Cancer Genetics	http://rss.sciencedirect.com/publication/science/22107762
Carcinogenesis	http://carcin.oxfordjournals.org/rss/current.xml
Cell Adhesion &amp; Migration	https://www.landesbioscience.com/rss/journals/celladhesion/current/
Cell Cycle	https://www.landesbioscience.com/rss/journals/cc/current/
Cell	http://rss.sciencedirect.com/publication/science/00928674
Cell	http://www.cell.com/cell/current.rss
CELL	http://www.cell.com/rssFeed/Cell/rss.NewIssueAndArticles.xml
Cell Metabolism	http://rss.sciencedirect.com/publication/science/15504131
Cell PaperClips	http://podcast.cell.com/cellpaperclips.xml
CELL REPORTS	http://www.cell.com/rssFeed/cell-reports/rss.NewIssueAndArticles.xml
Cell Stem Cell	http://rss.sciencedirect.com/publication/science/19345909
Cellular and ...	http://link.springer.com/search.rss?facet-content-type=Article&amp;facet-journal-id=18&amp;channel-name=Cellular%20and%20Molecular%20Life%20Sciences
